Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63573950,12/31/2024 11:59:38 PM,01/01/2025 12:26:35 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,AVENUE C,AVENUE C,AVENUE C,OCEAN PARKWAY,AVENUE C,OCEAN PARKWAY,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2025 12:26:39 AM,12 BROOKLYN,,BROOKLYN,991565,172780,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.640914779776715,-73.97364216306418,"(40.640914779776715, -73.97364216306418)"
63574642,12/31/2024 11:59:33 PM,01/02/2025 05:08:17 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:11:25 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63581093,12/31/2024 11:59:32 PM,01/01/2025 12:18:51 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:18:55 AM,03 BROOKLYN,3016360024,BROOKLYN,1003623,190063,PHONE,Unspecified,BROOKLYN,,,,,,,,40.688334599490894,-73.93014442097454,"(40.688334599490894, -73.93014442097454)"
63574822,12/31/2024 11:59:31 PM,01/01/2025 09:01:36 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:48 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63580924,12/31/2024 11:59:21 PM,01/01/2025 12:42:47 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,1302 NEWKIRK AVENUE,NEWKIRK AVENUE,ARGYLE ROAD,RUGBY ROAD,ARGYLE ROAD,RUGBY ROAD,ADDRESS,BROOKLYN,NEWKIRK AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:42:50 AM,14 BROOKLYN,3052340001,BROOKLYN,993982,170533,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6347449187686,-73.96493632865035,"(40.6347449187686, -73.96493632865035)"
63580690,12/31/2024 11:59:03 PM,01/01/2025 01:15:49 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11377,58-40 43 AVENUE,43 AVENUE,58 STREET,60 STREET,58 STREET,60 STREET,ADDRESS,WOODSIDE,43 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 01:15:51 AM,02 QUEENS,4013330066,QUEENS,1010116,210035,MOBILE,Unspecified,QUEENS,,,,,,,,40.74313633286714,-73.90665509704543,"(40.74313633286714, -73.90665509704543)"
63576192,12/31/2024 11:58:55 PM,01/02/2025 05:05:54 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:08:14 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63578152,12/31/2024 11:58:49 PM,01/01/2025 02:07:20 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11417,96-25 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,97 STREET,98 STREET,97 STREET,98 STREET,ADDRESS,OZONE PARK,ROCKAWAY BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 02:07:24 AM,10 QUEENS,4091690010,QUEENS,1028071,187175,ONLINE,Unspecified,QUEENS,,,,,,,,40.68032043275897,-73.842008218077,"(40.68032043275897, -73.842008218077)"
63575397,12/31/2024 11:58:48 PM,01/01/2025 01:04:14 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462,841 BRADY AVENUE,BRADY AVENUE,MATTHEWS AVENUE,MULINER AVENUE,MATTHEWS AVENUE,MULINER AVENUE,ADDRESS,BRONX,BRADY AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2025 01:04:17 AM,11 BRONX,2042970001,BRONX,1022229,249833,ONLINE,Unspecified,BRONX,,,,,,,,40.852327140788674,-73.86271682520135,"(40.852327140788674, -73.86271682520135)"
63583269,12/31/2024 11:58:45 PM,01/01/2025 08:38:07 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 08:38:11 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63575575,12/31/2024 11:58:34 PM,01/01/2025 12:05:49 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11211,218 SOUTH THIRD STREET,SOUTH THIRD STREET,ROEBLING STREET,HAVEMEYER STREET,ROEBLING STREET,HAVEMEYER STREET,ADDRESS,BROOKLYN,SOUTH    3 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:05:54 AM,01 BROOKLYN,3024330012,BROOKLYN,995624,198392,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71120965026345,-73.95897331500413,"(40.71120965026345, -73.95897331500413)"
63584539,12/31/2024 11:58:33 PM,01/01/2025 12:35:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,335 EAST  112 STREET,EAST  112 STREET,2 AVENUE,THOMAS JEFFERSON PARK PATH,2 AVENUE,THOMAS JEFFERSON PARK PATH,ADDRESS,NEW YORK,EAST  112 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:35:11 AM,11 MANHATTAN,1016840001,MANHATTAN,1001349,228522,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79389962799122,-73.93824629300637,"(40.79389962799122, -73.93824629300637)"
63572345,12/31/2024 11:58:21 PM,01/01/2025 12:06:15 AM,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,11233,293 HOWARD AVENUE,HOWARD AVENUE,HERKIMER STREET,ATLANTIC AVENUE,HERKIMER STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,HOWARD AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 12:06:18 AM,03 BROOKLYN,3015590013,BROOKLYN,1006676,186151,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.677589846078284,-73.91914887353346,"(40.677589846078284, -73.91914887353346)"
63576564,12/31/2024 11:58:17 PM,01/02/2025 05:05:54 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:06:53 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63574378,12/31/2024 11:58:08 PM,01/01/2025 12:16:34 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,315 EAST  113 STREET,EAST  113 STREET,2 AVENUE,PEDESTRIAN PATH,2 AVENUE,PEDESTRIAN PATH,ADDRESS,NEW YORK,EAST  113 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:16:37 AM,11 MANHATTAN,1016840101,MANHATTAN,1001220,228875,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79486876589309,-73.93871128941306,"(40.79486876589309, -73.93871128941306)"
63584944,12/31/2024 11:57:59 PM,01/01/2025 09:01:23 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:30 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63574413,12/31/2024 11:57:45 PM,01/03/2025 04:55:33 PM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11226,240 EAST   18 STREET,EAST   18 STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,01/03/2025 12:00:00 AM,14 BROOKLYN,3051210026,BROOKLYN,994703,174442,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64547346443622,-73.96233256349558,"(40.64547346443622, -73.96233256349558)"
63584880,12/31/2024 11:57:39 PM,01/02/2025 05:07:25 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:10:09 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
